rsID,pValue,pValueAnnotation,riskFrequency,orValue,beta,ci,Gene,traitName,efoTraits,bgTraits,accessionId,locations,pubmedId,author,Chromosome,Position
rs138636798-?,2e-16,-,NR,-,0.1372,[0.1-0.17],"SLC7A10,CEBPA",Ulcerative colitis,ulcerative colitis,-,GCST90446794,19:33260221,37156999,Liu Z,19,33260221.0
rs2836878-A,2e-16,-,NR,0.8,,-,"LINC02940,RPL23AP12",Ulcerative colitis,ulcerative colitis,-,GCST90454275,21:39093608,37002690,Zeng Y,21,39093608.0
rs748670681-T,2e-16,-,NR,-,0.7329,[0.56-0.91],TNRC18,Ulcerative colitis,ulcerative colitis,-,GCST90018933,7:5397122,34594039,Sakaue S,7,5397122.0
rs4812833-A,2e-16,(EA),0.52,1.1088746,,-,LINC01620,Ulcerative colitis,ulcerative colitis,-,GCST003045,20:44440356,26192919,Liu JZ,20,44440356.0
rs1801274-G,2e-16,-,NR,-,0.16,[0.12-0.2],FCGR2A,Ulcerative colitis,ulcerative colitis,-,GCST90018933,1:161509955,34594039,Sakaue S,1,161509955.0
rs4845604-?,2e-16,(subset analysis),NR,-,,-,RORC,"Chronic inflammatory diseases (ankylosing spondylitis, Crohn's disease, psoriasis, primary sclerosing cholangitis, ulcerative colitis) (pleiotropy)","ankylosing spondylitis,psoriasis,ulcerative colitis,Crohn's disease,sclerosing cholangitis",-,GCST005537,1:151829204,26974007,Ellinghaus D,1,151829204.0
rs77981966-?,2e-16,(subset analysis),NR,-,,-,THADA,"Chronic inflammatory diseases (ankylosing spondylitis, Crohn's disease, psoriasis, primary sclerosing cholangitis, ulcerative colitis) (pleiotropy)","ankylosing spondylitis,psoriasis,ulcerative colitis,Crohn's disease,sclerosing cholangitis",-,GCST005537,2:43550825,26974007,Ellinghaus D,2,43550825.0
rs12946510-?,2e-16,-,NR,-,,-,"IKZF3,GRB7",Ulcerative colitis,ulcerative colitis,-,GCST004133,17:39756124,28067908,de Lange KM,17,39756124.0
rs10781499-?,2e-16,-,NR,-,,-,CARD9,Ulcerative colitis,ulcerative colitis,-,GCST004133,9:136371953,28067908,de Lange KM,9,136371953.0
rs9687958-?,3e-16,(subset analysis),NR,-,,-,"RNU1-150P,TTC33","Chronic inflammatory diseases (ankylosing spondylitis, Crohn's disease, psoriasis, primary sclerosing cholangitis, ulcerative colitis) (pleiotropy)","ankylosing spondylitis,psoriasis,ulcerative colitis,Crohn's disease,sclerosing cholangitis",-,GCST005537,5:40496321,26974007,Ellinghaus D,5,40496321.0
rs2284553-?,4e-16,(subset analysis),NR,-,,-,IFNGR2,"Chronic inflammatory diseases (ankylosing spondylitis, Crohn's disease, psoriasis, primary sclerosing cholangitis, ulcerative colitis) (pleiotropy)","ankylosing spondylitis,psoriasis,ulcerative colitis,Crohn's disease,sclerosing cholangitis",-,GCST005537,21:33404389,26974007,Ellinghaus D,21,33404389.0
rs7554511-?,4e-16,-,NR,-,,-,INAVA,Ulcerative colitis,ulcerative colitis,-,GCST004133,1:200908434,28067908,de Lange KM,1,200908434.0
rs11117431-?,5e-16,(subset analysis),NR,-,,-,"LINC02132,LINC01082","Chronic inflammatory diseases (ankylosing spondylitis, Crohn's disease, psoriasis, primary sclerosing cholangitis, ulcerative colitis) (pleiotropy)","ankylosing spondylitis,psoriasis,ulcerative colitis,Crohn's disease,sclerosing cholangitis",-,GCST005537,16:85981710,26974007,Ellinghaus D,16,85981710.0
rs2155219-T,5e-16,-,0.5,1.13,,[1.08-1.17],"EMSY,LINC02757",Ulcerative colitis,ulcerative colitis,-,GCST000964,11:76588150,21297633,Anderson CA,11,76588150.0
rs1886730-?,6e-16,-,NR,-,0.0936,[0.071-0.116],TNFRSF14,Ulcerative colitis,ulcerative colitis,-,GCST90446794,1:2557169,37156999,Liu Z,1,2557169.0
rs10761648-?,6e-16,(subset analysis),NR,-,,-,LINC02929,"Chronic inflammatory diseases (ankylosing spondylitis, Crohn's disease, psoriasis, primary sclerosing cholangitis, ulcerative colitis) (pleiotropy)","ankylosing spondylitis,psoriasis,ulcerative colitis,Crohn's disease,sclerosing cholangitis",-,GCST005537,10:62594503,26974007,Ellinghaus D,10,62594503.0
rs4812833-?,7e-16,(subset analysis),NR,-,,-,LINC01620,"Chronic inflammatory diseases (ankylosing spondylitis, Crohn's disease, psoriasis, primary sclerosing cholangitis, ulcerative colitis) (pleiotropy)","ankylosing spondylitis,psoriasis,ulcerative colitis,Crohn's disease,sclerosing cholangitis",-,GCST005537,20:44440356,26974007,Ellinghaus D,20,44440356.0
rs61839660-?,1e-15,(subset analysis),NR,-,,-,IL2RA,"Chronic inflammatory diseases (ankylosing spondylitis, Crohn's disease, psoriasis, primary sclerosing cholangitis, ulcerative colitis) (pleiotropy)","ankylosing spondylitis,psoriasis,ulcerative colitis,Crohn's disease,sclerosing cholangitis",-,GCST005537,10:6052734,26974007,Ellinghaus D,10,6052734.0
rs4246905-G,1e-15,(EA),0.72,1.1206568,,-,TNFSF15,Ulcerative colitis,ulcerative colitis,-,GCST003045,9:114790969,26192919,Liu JZ,9,114790969.0
rs10761659-?,1e-15,-,NR,-,,-,"ALDH7A1P4,LINC02929",Ulcerative colitis,ulcerative colitis,-,GCST004133,10:62685804,28067908,de Lange KM,10,62685804.0
rs7282490-G,2e-15,(EA),0.3934,1.1100584,,[1.09-1.13],GATD3,Ulcerative colitis,ulcerative colitis,-,GCST003045,21:44195858,26192919,Liu JZ,21,44195858.0
rs3749946-A,2e-15,-,0.07,1.97,,[1.66-2.33],"HCP5,MICB-DT",Ulcerative colitis,ulcerative colitis,-,GCST002453,6:31481085,24837172,Juyal G,6,31481085.0
rs12942547-?,2e-15,(subset analysis),NR,-,,-,STAT3,"Chronic inflammatory diseases (ankylosing spondylitis, Crohn's disease, psoriasis, primary sclerosing cholangitis, ulcerative colitis) (pleiotropy)","ankylosing spondylitis,psoriasis,ulcerative colitis,Crohn's disease,sclerosing cholangitis",-,GCST005537,17:42375526,26974007,Ellinghaus D,17,42375526.0
rs12568930-?,2e-15,-,NR,-,,-,"ZBTB40,PPIAP34",Ulcerative colitis,ulcerative colitis,-,GCST004133,1:22375738,28067908,de Lange KM,1,22375738.0
rs798502-A,3e-15,-,0.71,1.13,,[1.08-1.18],"GNA12,AMZ1",Ulcerative colitis,ulcerative colitis,-,GCST000964,7:2750246,21297633,Anderson CA,7,2750246.0
rs6920220-?,3e-15,-,NR,-,,-,LINC03004,Ulcerative colitis,ulcerative colitis,-,GCST004133,6:137685367,28067908,de Lange KM,6,137685367.0
chr1:67722919-C,4e-15,-,0.9298,-,0.3762,[0.28-0.47],-,Ulcerative colitis,ulcerative colitis,-,GCST90476067,-,39024449,Verma A,-,
rs2816958-?,4e-15,(subset analysis),NR,-,,-,NR5A2,"Chronic inflammatory diseases (ankylosing spondylitis, Crohn's disease, psoriasis, primary sclerosing cholangitis, ulcerative colitis) (pleiotropy)","ankylosing spondylitis,psoriasis,ulcerative colitis,Crohn's disease,sclerosing cholangitis",-,GCST005537,1:200132792,26974007,Ellinghaus D,1,200132792.0
rs9268923-C,4e-15,-,0.67,1.45,,[1.33-1.59],HLA-DRB9,Ulcerative colitis,ulcerative colitis,-,GCST000623,6:32465058,20228798,Franke A,6,32465058.0
rs2266961-?,4e-15,(subset analysis),NR,-,,-,UBE2L3,"Chronic inflammatory diseases (ankylosing spondylitis, Crohn's disease, psoriasis, primary sclerosing cholangitis, ulcerative colitis) (pleiotropy)","ankylosing spondylitis,psoriasis,ulcerative colitis,Crohn's disease,sclerosing cholangitis",-,GCST005537,22:21574308,26974007,Ellinghaus D,22,21574308.0
rs1182188-A,5e-15,(EA),0.7,1.1136187,,-,GNA12,Ulcerative colitis,ulcerative colitis,-,GCST003045,7:2830351,26192919,Liu JZ,7,2830351.0
rs11230563-?,5e-15,(subset analysis),NR,-,,-,CD6,"Chronic inflammatory diseases (ankylosing spondylitis, Crohn's disease, psoriasis, primary sclerosing cholangitis, ulcerative colitis) (pleiotropy)","ankylosing spondylitis,psoriasis,ulcerative colitis,Crohn's disease,sclerosing cholangitis",-,GCST005537,11:61008737,26974007,Ellinghaus D,11,61008737.0
rs11236797-?,5e-15,-,NR,-,,-,"LINC02757,EMSY",Ulcerative colitis,ulcerative colitis,-,GCST004133,11:76588605,28067908,de Lange KM,11,76588605.0
rs12694846-?,5e-15,(subset analysis),NR,-,,-,SP140,"Chronic inflammatory diseases (ankylosing spondylitis, Crohn's disease, psoriasis, primary sclerosing cholangitis, ulcerative colitis) (pleiotropy)","ankylosing spondylitis,psoriasis,ulcerative colitis,Crohn's disease,sclerosing cholangitis",-,GCST005537,2:230283413,26974007,Ellinghaus D,2,230283413.0
rs1882348-?,5e-15,-,NR,-,0.0914,[0.068-0.114],IL18R1,Ulcerative colitis,ulcerative colitis,-,GCST90446794,2:102368211,37156999,Liu Z,2,102368211.0
rs9491891-?,5e-15,(subset analysis),NR,-,,-,"PTPRK,THEMIS","Chronic inflammatory diseases (ankylosing spondylitis, Crohn's disease, psoriasis, primary sclerosing cholangitis, ulcerative colitis) (pleiotropy)","ankylosing spondylitis,psoriasis,ulcerative colitis,Crohn's disease,sclerosing cholangitis",-,GCST005537,6:127956006,26974007,Ellinghaus D,6,127956006.0
rs2413583-G,7e-15,(EA),0.83,1.1438878,,-,"PDGFB,RPL3",Ulcerative colitis,ulcerative colitis,-,GCST003045,22:39263768,26192919,Liu JZ,22,39263768.0
rs395157-?,8e-15,(subset analysis),NR,-,,-,OSMR,"Chronic inflammatory diseases (ankylosing spondylitis, Crohn's disease, psoriasis, primary sclerosing cholangitis, ulcerative colitis) (pleiotropy)","ankylosing spondylitis,psoriasis,ulcerative colitis,Crohn's disease,sclerosing cholangitis",-,GCST005537,5:38867630,26974007,Ellinghaus D,5,38867630.0
rs561722-?,9e-15,-,NR,-,0.0922,[0.069-0.116],"NXPE2P1,NXPE1",Ulcerative colitis,ulcerative colitis,-,GCST90446794,11:114516108,37156999,Liu Z,11,114516108.0
rs10185424-A,1e-14,(EA),0.4604,1.1014192,,[1.08-1.13],"IL1R2,IL1R1",Ulcerative colitis,ulcerative colitis,-,GCST003045,2:102046427,26192919,Liu JZ,2,102046427.0
rs3851228-A,1e-14,(EA),0.06375,1.2023339,,[1.16-1.25],TRAF3IP2-AS1,Ulcerative colitis,ulcerative colitis,-,GCST003045,6:111526988,26192919,Liu JZ,6,111526988.0
rs4851529-?,1e-14,(subset analysis),NR,-,,-,"IL1R2,IL1R1","Chronic inflammatory diseases (ankylosing spondylitis, Crohn's disease, psoriasis, primary sclerosing cholangitis, ulcerative colitis) (pleiotropy)","ankylosing spondylitis,psoriasis,ulcerative colitis,Crohn's disease,sclerosing cholangitis",-,GCST005537,2:102030838,26974007,Ellinghaus D,2,102030838.0
rs17085007-?,1e-14,-,NR,-,,-,"RPS21P8,FGFR1OP2P1",Ulcerative colitis,ulcerative colitis,-,GCST004133,13:26957130,28067908,de Lange KM,13,26957130.0
rs726657-?,1e-14,(subset analysis),NR,-,,-,DELEC1,"Chronic inflammatory diseases (ankylosing spondylitis, Crohn's disease, psoriasis, primary sclerosing cholangitis, ulcerative colitis) (pleiotropy)","ankylosing spondylitis,psoriasis,ulcerative colitis,Crohn's disease,sclerosing cholangitis",-,GCST005537,9:114934056,26974007,Ellinghaus D,9,114934056.0
rs78534766-?,1e-14,-,NR,2.16,,[1.77-2.62],ADCY7,Ulcerative colitis,ulcerative colitis,-,GCST008658,16:50301163,28067910,Luo Y,16,50301163.0
rs9911533-?,2e-14,-,NR,-,0.0922,[0.069-0.116],"CCR7,SMARCE1",Ulcerative colitis,ulcerative colitis,-,GCST90446794,17:40619224,37156999,Liu Z,17,40619224.0
rs7608910-G,2e-14,-,0.39,1.19,,[1.14-1.24],PUS10,Ulcerative colitis,ulcerative colitis,-,GCST000964,2:60977721,21297633,Anderson CA,2,60977721.0
rs12943464-?,2e-14,(subset analysis),NR,-,,-,"KPNB1-DT,NPEPPS","Chronic inflammatory diseases (ankylosing spondylitis, Crohn's disease, psoriasis, primary sclerosing cholangitis, ulcerative colitis) (pleiotropy)","ankylosing spondylitis,psoriasis,ulcerative colitis,Crohn's disease,sclerosing cholangitis",-,GCST005537,17:47612985,26974007,Ellinghaus D,17,47612985.0
rs4728142-A,2e-14,(EA),0.439,1.1018242,,[1.08-1.13],"KCP,IRF5",Ulcerative colitis,ulcerative colitis,-,GCST003045,7:128933913,26192919,Liu JZ,7,128933913.0
rs661054-?,2e-14,(subset analysis),NR,-,,-,NXPE1,"Chronic inflammatory diseases (ankylosing spondylitis, Crohn's disease, psoriasis, primary sclerosing cholangitis, ulcerative colitis) (pleiotropy)","ankylosing spondylitis,psoriasis,ulcerative colitis,Crohn's disease,sclerosing cholangitis",-,GCST005537,11:114559688,26974007,Ellinghaus D,11,114559688.0
rs11616188-?,3e-14,(subset analysis),NR,-,,-,"LTBR,RPL31P10","Chronic inflammatory diseases (ankylosing spondylitis, Crohn's disease, psoriasis, primary sclerosing cholangitis, ulcerative colitis) (pleiotropy)","ankylosing spondylitis,psoriasis,ulcerative colitis,Crohn's disease,sclerosing cholangitis",-,GCST005537,12:6393576,26974007,Ellinghaus D,12,6393576.0
rs17229285-G,3e-14,(EA),0.4966,1.1000017,,[1.08-1.12],"PLCL1,RNU7-147P",Ulcerative colitis,ulcerative colitis,-,GCST003045,2:198658398,26192919,Liu JZ,2,198658398.0
rs4728142-A,4e-14,-,0.444,1.104,,[1.066-1.143],"KCP,IRF5",Ulcerative colitis,ulcerative colitis,-,GCST001728,7:128933913,23128233,Jostins L,7,128933913.0
rs928722-?,4e-14,(subset analysis),NR,-,,-,LINC03004,"Chronic inflammatory diseases (ankylosing spondylitis, Crohn's disease, psoriasis, primary sclerosing cholangitis, ulcerative colitis) (pleiotropy)","ankylosing spondylitis,psoriasis,ulcerative colitis,Crohn's disease,sclerosing cholangitis",-,GCST005537,6:137652695,26974007,Ellinghaus D,6,137652695.0
rs3774937-G,5e-14,(EA),0.3257,1.1043711,,[1.08-1.13],NFKB1,Ulcerative colitis,ulcerative colitis,-,GCST003045,4:102513096,26192919,Liu JZ,4,102513096.0
rs11574938-?,5e-14,(subset analysis),NR,-,,-,ITGAL,"Chronic inflammatory diseases (ankylosing spondylitis, Crohn's disease, psoriasis, primary sclerosing cholangitis, ulcerative colitis) (pleiotropy)","ankylosing spondylitis,psoriasis,ulcerative colitis,Crohn's disease,sclerosing cholangitis",-,GCST005537,16:30474072,26974007,Ellinghaus D,16,30474072.0
rs4151657-G,5e-14,-,0.29,1.54,,[1.38-1.73],CFB,Ulcerative colitis,ulcerative colitis,-,GCST002453,6:31949763,24837172,Juyal G,6,31949763.0
rs678170-A,5e-14,-,0.66,1.09,,[1.05-1.14],"NXPE1,NXPE4",Ulcerative colitis,ulcerative colitis,-,GCST000964,11:114561234,21297633,Anderson CA,11,114561234.0
rs367569-?,5e-14,(subset analysis),NR,-,,-,RMI2,"Chronic inflammatory diseases (ankylosing spondylitis, Crohn's disease, psoriasis, primary sclerosing cholangitis, ulcerative colitis) (pleiotropy)","ankylosing spondylitis,psoriasis,ulcerative colitis,Crohn's disease,sclerosing cholangitis",-,GCST005537,16:11271643,26974007,Ellinghaus D,16,11271643.0
rs12158299-?,5e-14,-,NR,-,0.0967,[0.072-0.122],"YDJC,UBE2L3",Ulcerative colitis,ulcerative colitis,-,GCST90446794,22:21625295,37156999,Liu Z,22,21625295.0
rs183686347-?,6e-14,(subset analysis),NR,-,,-,IL23R,"Chronic inflammatory diseases (ankylosing spondylitis, Crohn's disease, psoriasis, primary sclerosing cholangitis, ulcerative colitis) (pleiotropy)","ankylosing spondylitis,psoriasis,ulcerative colitis,Crohn's disease,sclerosing cholangitis",-,GCST005537,1:67237759,26974007,Ellinghaus D,1,67237759.0
rs3766606-C,6e-14,(EA),0.83,1.143554,,-,PARK7,Ulcerative colitis,ulcerative colitis,-,GCST003045,1:7962137,26192919,Liu JZ,1,7962137.0
rs4817983-C,6e-14,-,NR,-,0.1707,[0.13-0.22],"RPL23AP12,LINC02940",Ulcerative colitis,ulcerative colitis,-,GCST90018933,21:39092998,34594039,Sakaue S,21,39092998.0
rs559928-?,8e-14,(subset analysis),NR,-,,-,"RPS6KA4,LINC02723","Chronic inflammatory diseases (ankylosing spondylitis, Crohn's disease, psoriasis, primary sclerosing cholangitis, ulcerative colitis) (pleiotropy)","ankylosing spondylitis,psoriasis,ulcerative colitis,Crohn's disease,sclerosing cholangitis",-,GCST005537,11:64382898,26974007,Ellinghaus D,11,64382898.0
rs113155999-T,9e-14,-,0.9476,-,0.3554,[0.23-0.48],"DNAJB6P4,RNU4ATAC4P",Ulcerative colitis,ulcerative colitis,-,GCST90480319,1:67277869,39024449,Verma A,1,67277869.0
rs3766606-?,9e-14,(subset analysis),NR,-,,-,PARK7,"Chronic inflammatory diseases (ankylosing spondylitis, Crohn's disease, psoriasis, primary sclerosing cholangitis, ulcerative colitis) (pleiotropy)","ankylosing spondylitis,psoriasis,ulcerative colitis,Crohn's disease,sclerosing cholangitis",-,GCST005537,1:7962137,26974007,Ellinghaus D,1,7962137.0
rs2201841-C,1e-13,-,NR,1.16,,[NR],"C1orf141,IL23R",Ulcerative colitis,ulcerative colitis,-,GCST000624,1:67228519,20228799,McGovern DP,1,67228519.0
rs7097656-?,1e-13,(subset analysis),NR,-,,-,TSPAN14,"Chronic inflammatory diseases (ankylosing spondylitis, Crohn's disease, psoriasis, primary sclerosing cholangitis, ulcerative colitis) (pleiotropy)","ankylosing spondylitis,psoriasis,ulcerative colitis,Crohn's disease,sclerosing cholangitis",-,GCST005537,10:80491075,26974007,Ellinghaus D,10,80491075.0
rs941823-G,1e-13,(EA),0.75,1.1147928,,-,LINC00598,Ulcerative colitis,ulcerative colitis,-,GCST003045,13:40439840,26192919,Liu JZ,13,40439840.0
rs73534586-?,1e-13,-,NR,-,0.1942,[0.14-0.25],"TRAF3IP2-AS1,TRAF3IP2",Ulcerative colitis,ulcerative colitis,-,GCST90446794,6:111594960,37156999,Liu Z,6,111594960.0
rs4462528-?,1e-13,-,NR,-,0.1345,[0.099-0.17],GALC,Ulcerative colitis,ulcerative colitis,-,GCST90446794,14:87959953,37156999,Liu Z,14,87959953.0
rs17085007-?,2e-13,(subset analysis),NR,-,,-,"RPS21P8,FGFR1OP2P1","Chronic inflammatory diseases (ankylosing spondylitis, Crohn's disease, psoriasis, primary sclerosing cholangitis, ulcerative colitis) (pleiotropy)","ankylosing spondylitis,psoriasis,ulcerative colitis,Crohn's disease,sclerosing cholangitis",-,GCST005537,13:26957130,26974007,Ellinghaus D,13,26957130.0
rs7524102-A,2e-13,-,0.83,1.1,,[1.05-1.16],"PPIAP34,ZBTB40",Ulcerative colitis,ulcerative colitis,-,GCST000964,1:22371954,21297633,Anderson CA,1,22371954.0
rs17229285-C,2e-13,-,0.496,1.117,,[1.079-1.157],"PLCL1,RNU7-147P",Ulcerative colitis,ulcerative colitis,-,GCST001728,2:198658398,23128233,Jostins L,2,198658398.0
rs7554511-C,2e-13,-,0.72,1.19,,[1.14-1.25],INAVA,Ulcerative colitis,ulcerative colitis,-,GCST000964,1:200908434,21297633,Anderson CA,1,200908434.0
rs10800314-C,2e-13,-,0.3298,-,0.14,[0.098-0.182],"FCGR2A,RNU6-481P",Ulcerative colitis,ulcerative colitis,-,GCST90480319,1:161502999,39024449,Verma A,1,161502999.0
rs254560-?,2e-13,-,NR,-,0.0877,[0.064-0.111],PITX1-AS1,Ulcerative colitis,ulcerative colitis,-,GCST90446794,5:135107916,37156999,Liu Z,5,135107916.0
rs2816958-?,2e-13,-,NR,-,,-,NR5A2,Ulcerative colitis,ulcerative colitis,-,GCST004133,1:200132792,28067908,de Lange KM,1,200132792.0
rs2823286-?,2e-13,-,NR,-,,-,"LINC02920,CYCSP42",Ulcerative colitis,ulcerative colitis,-,GCST004133,21:15445619,28067908,de Lange KM,21,15445619.0
HLA-DRB1*0103-?,2e-13,-,NR,6.9418,,[6.43-7.46],-,Childhood onset ulcerative colitis,ulcerative colitis,-,GCST005815,-,29562276,Venkateswaran S,-,
rs1893217-G,3e-13,(EA),0.1602,1.1283141,,[1.1-1.16],PTPN2,Ulcerative colitis,ulcerative colitis,-,GCST003045,18:12809341,26192919,Liu JZ,18,12809341.0
rs78534766-?,3e-13,-,NR,-,,-,ADCY7,Ulcerative colitis,ulcerative colitis,-,GCST004133,16:50301163,28067908,de Lange KM,16,50301163.0
rs2111485-?,3e-13,(subset analysis),NR,-,,-,"FAP,IFIH1","Chronic inflammatory diseases (ankylosing spondylitis, Crohn's disease, psoriasis, primary sclerosing cholangitis, ulcerative colitis) (pleiotropy)","ankylosing spondylitis,psoriasis,ulcerative colitis,Crohn's disease,sclerosing cholangitis",-,GCST005537,2:162254026,26974007,Ellinghaus D,2,162254026.0
rs10800314-C,3e-13,-,0.3366,-,0.1493,[0.11-0.19],"FCGR2A,RNU6-481P",Ulcerative colitis,ulcerative colitis,-,GCST90476067,1:161502999,39024449,Verma A,1,161502999.0
rs7195296-?,3e-13,(subset analysis),NR,-,,-,"LITAF,SNN","Chronic inflammatory diseases (ankylosing spondylitis, Crohn's disease, psoriasis, primary sclerosing cholangitis, ulcerative colitis) (pleiotropy)","ankylosing spondylitis,psoriasis,ulcerative colitis,Crohn's disease,sclerosing cholangitis",-,GCST005537,16:11655918,26974007,Ellinghaus D,16,11655918.0
rs9868809-A,3e-13,(EA),0.1036,1.1570203,,[1.12-1.2],CELSR3,Ulcerative colitis,ulcerative colitis,-,GCST003045,3:48643620,26192919,Liu JZ,3,48643620.0
rs73178598-?,3e-13,(subset analysis),NR,-,,-,SATB1-AS1,"Chronic inflammatory diseases (ankylosing spondylitis, Crohn's disease, psoriasis, primary sclerosing cholangitis, ulcerative colitis) (pleiotropy)","ankylosing spondylitis,psoriasis,ulcerative colitis,Crohn's disease,sclerosing cholangitis",-,GCST005537,3:18763719,26974007,Ellinghaus D,3,18763719.0
rs34920465-?,3e-13,(subset analysis),NR,-,,-,"ZBTB40,PPIAP34","Chronic inflammatory diseases (ankylosing spondylitis, Crohn's disease, psoriasis, primary sclerosing cholangitis, ulcerative colitis) (pleiotropy)","ankylosing spondylitis,psoriasis,ulcerative colitis,Crohn's disease,sclerosing cholangitis",-,GCST005537,1:22373858,26974007,Ellinghaus D,1,22373858.0
rs2006996-T,4e-13,(UC vs. CD),0.47,1.67,,[1.47-1.92],"DELEC1,TNFSF15",Ulcerative colitis or Crohn's disease,"ulcerative colitis,Crohn's disease",-,GCST001118,9:114830358,21699788,Okada Y,9,114830358.0
rs12568930-A,4e-13,(EA),0.84,1.1360025,,-,"ZBTB40,PPIAP34",Ulcerative colitis,ulcerative colitis,-,GCST003045,1:22375738,26192919,Liu JZ,1,22375738.0
rs3118471-?,4e-13,(subset analysis),NR,-,,-,IL2RA,"Chronic inflammatory diseases (ankylosing spondylitis, Crohn's disease, psoriasis, primary sclerosing cholangitis, ulcerative colitis) (pleiotropy)","ankylosing spondylitis,psoriasis,ulcerative colitis,Crohn's disease,sclerosing cholangitis",-,GCST005537,10:6060794,26974007,Ellinghaus D,10,6060794.0
rs7282490-?,5e-13,-,NR,-,,-,GATD3,Ulcerative colitis,ulcerative colitis,-,GCST004133,21:44195858,28067908,de Lange KM,21,44195858.0
rs6426833-G,5e-13,-,0.4789,-,0.1318,[0.1-0.16],"RNF186-AS1,OTUD3",Ulcerative colitis,ulcerative colitis,-,GCST90480319,1:19845367,39024449,Verma A,1,19845367.0
rs353339-?,5e-13,(subset analysis),NR,-,,-,"KRT18P56,LINC00604","Chronic inflammatory diseases (ankylosing spondylitis, Crohn's disease, psoriasis, primary sclerosing cholangitis, ulcerative colitis) (pleiotropy)","ankylosing spondylitis,psoriasis,ulcerative colitis,Crohn's disease,sclerosing cholangitis",-,GCST005537,5:40201698,26974007,Ellinghaus D,5,40201698.0
rs6426833-G,5e-13,-,0.54,1.37,,-,"RNF186-AS1,OTUD3",Ulcerative colitis,ulcerative colitis,-,GCST000311,1:19845367,19122664,Silverberg MS,1,19845367.0
rs182307779-A,6e-13,-,0.9997,-,3.205,[3.18-3.23],ATXN10,Ulcerative colitis (chronic) (PheCode 555.21),ulcerative colitis,-,GCST90480318,22:45745460,39024449,Verma A,22,45745460.0
rs17780256-A,6e-13,(EA),0.81,1.1223103,,-,SLC39A11,Ulcerative colitis,ulcerative colitis,-,GCST003045,17:72646784,26192919,Liu JZ,17,72646784.0
rs2903386-?,6e-13,-,NR,-,0.0851,[0.062-0.108],"TET2,TET2-AS1",Ulcerative colitis,ulcerative colitis,-,GCST90446794,4:105178652,37156999,Liu Z,4,105178652.0
rs1297265-A,7e-13,-,0.56,1.11,,[1.06-1.15],"LINC02920,CYCSP42",Ulcerative colitis,ulcerative colitis,-,GCST000964,21:15444732,21297633,Anderson CA,21,15444732.0
rs1887428-G,7e-13,-,0.3783,-,0.1515,[0.11-0.19],JAK2,Ulcerative colitis,ulcerative colitis,-,GCST90476067,9:4984530,39024449,Verma A,9,4984530.0
rs11690316-?,7e-13,-,NR,-,0.0831,[0.06-0.106],"CXCR2,CXCR1",Ulcerative colitis,ulcerative colitis,-,GCST90446794,2:218152739,37156999,Liu Z,2,218152739.0
rs4957294-?,8e-13,-,NR,-,0.043,NR,"TTC33,RNU1-150P",Crohn's disease vs ulcerative colitis (ordinary least squares (OLS)),"ulcerative colitis,Crohn's disease",-,GCST90016611,5:40446447,33686288,Peyrot WJ,5,40446447.0
chr1:20227723-G,9e-13,-,0.5464,-,0.1443,[0.1-0.18],-,Ulcerative colitis,ulcerative colitis,-,GCST90476067,-,39024449,Verma A,-,
rs3024505-T,1e-12, ,0.15,1.46,,[1.31-1.62],"IL10,Y_RNA",Ulcerative colitis,ulcerative colitis,-,GCST000243,1:206766559,18836448,Franke A,1,206766559.0
rs3024493-T,1e-12,-,0.16,1.35,,[1.22-1.50],IL10,Ulcerative colitis,ulcerative colitis,-,GCST000623,1:206770623,20228798,Franke A,1,206770623.0
rs11581607-G,2e-12,-,0.9341,-,0.3681,[0.27-0.47],IL23R,Ulcerative colitis,ulcerative colitis,-,GCST90475322,1:67242007,39024449,Verma A,1,67242007.0
rs1801274-?,2e-12,-,0.78,1.59,,[1.39-1.82],FCGR2A,Ulcerative colitis,ulcerative colitis,-,GCST000529,1:161509955,19915573,Asano K,1,161509955.0
rs11204894-?,2e-12,-,NR,-,0.1015,[0.073-0.13],RORC,Ulcerative colitis,ulcerative colitis,-,GCST90446794,1:151820698,37156999,Liu Z,1,151820698.0
rs559689141-C,2e-12,-,0.999,-,2.975,[2.95-3],"NUS1P4,STK24-AS1",Ulcerative colitis (chronic) (PheCode 555.21),ulcerative colitis,-,GCST90480318,13:98602689,39024449,Verma A,13,98602689.0
rs2823286-G,2e-12,(EA),0.71,1.1033705,,-,"LINC02920,CYCSP42",Ulcerative colitis,ulcerative colitis,-,GCST003045,21:15445619,26192919,Liu JZ,21,15445619.0
rs2816980-?,3e-12,-,NR,-,0.1477,[0.11-0.19],NR5A2,Ulcerative colitis,ulcerative colitis,-,GCST90446794,1:200108907,37156999,Liu Z,1,200108907.0
rs2476601-?,3e-12,(subset analysis),NR,-,,-,"PTPN22,AP4B1-AS1","Chronic inflammatory diseases (ankylosing spondylitis, Crohn's disease, psoriasis, primary sclerosing cholangitis, ulcerative colitis) (pleiotropy)","ankylosing spondylitis,psoriasis,ulcerative colitis,Crohn's disease,sclerosing cholangitis",-,GCST005537,1:113834946,26974007,Ellinghaus D,1,113834946.0
rs148844907-T,3e-12,-,0.991,-,0.8154,[0.72-0.91],"C6orf47-AS1,C6orf47",Ulcerative colitis (chronic) (PheCode 555.21),ulcerative colitis,-,GCST90480318,6:31660620,39024449,Verma A,6,31660620.0
